a, b,c,src mommenttz,,,,,,a,b,b,
Europe/Oslo,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/San_Marino,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Paris,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Sarajevo,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Podgorica,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Skopje,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Prague,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Sofia,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Riga,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Stockholm,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Rome,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Tallinn,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/San_Marino,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Tirane,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Sarajevo,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Uzhgorod,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Skopje,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Vaduz,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Sofia,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Vatican,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Stockholm,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Vienna,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Tallinn,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Vilnius,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Tirane,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Warsaw,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Uzhgorod,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Zagreb,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Vaduz,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Zaporozhye,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Vatican,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Zurich,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Vienna,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,GB,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1
Europe/Vilnius,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,GB-Eire,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1
Europe/Warsaw,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,MET,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Zagreb,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Poland,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Zaporozhye,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Portugal,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1
Europe/Zurich,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,WET,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1
GB,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0,,,,,,Europe/Chisinau,2025-10-26T00:00:00Z,2025-10-26T02:00:00+02:00,EEST 3
GB-Eire,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0,,,,,,Europe/Tiraspol,2025-10-26T00:00:00Z,2025-10-26T02:00:00+02:00,EEST 3
MET,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Asia/Jerusalem,2025-10-25T23:00:00Z,2025-10-26T01:00:00+02:00,IDT 3
Poland,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Asia/Tel_Aviv,2025-10-25T23:00:00Z,2025-10-26T01:00:00+02:00,IDT 3
Portugal,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0,,,,,,Israel,2025-10-25T23:00:00Z,2025-10-26T01:00:00+02:00,IDT 3
WET,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0,,,,,,Asia/Beirut,2025-10-25T21:00:00Z,2025-10-25T23:00:00+02:00,EEST 3
Antarctica/McMurdo,2025-04-05T14:00:00Z,2025-04-06T02:00:00+12:00,NZDT 13,,,,,,Asia/Gaza,2025-10-24T23:00:00Z,2025-10-25T01:00:00+02:00,EEST 3
Antarctica/South_Pole,2025-04-05T14:00:00Z,2025-04-06T02:00:00+12:00,NZDT 13,,,,,,Asia/Hebron,2025-10-24T23:00:00Z,2025-10-25T01:00:00+02:00,EEST 3
NZ,2025-04-05T14:00:00Z,2025-04-06T02:00:00+12:00,NZDT 13,,,,,,Australia/Adelaide,2025-10-04T16:30:00Z,2025-10-05T03:00:00+10:30,ACST 9.5
NZ-CHAT,2025-04-05T14:00:00Z,2025-04-06T02:45:00+12:45,+1345 13.75,,,,,,Australia/Broken_Hill,2025-10-04T16:30:00Z,2025-10-05T03:00:00+10:30,ACST 9.5
Pacific/Auckland,2025-04-05T14:00:00Z,2025-04-06T02:00:00+12:00,NZDT 13,,,,,,Australia/South,2025-10-04T16:30:00Z,2025-10-05T03:00:00+10:30,ACST 9.5
Pacific/Chatham,2025-04-05T14:00:00Z,2025-04-06T02:45:00+12:45,+1345 13.75,,,,,,Australia/Yancowinna,2025-10-04T16:30:00Z,2025-10-05T03:00:00+10:30,ACST 9.5
Australia/LHI,2025-04-05T15:00:00Z,2025-04-06T01:30:00+10:30,+11 11,,,,,,Antarctica/Macquarie,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Australia/Lord_Howe,2025-04-05T15:00:00Z,2025-04-06T01:30:00+10:30,+11 11,,,,,,Australia/ACT,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Pacific/Norfolk,2025-04-05T15:00:00Z,2025-04-06T02:00:00+11:00,+12 12,,,,,,Australia/Canberra,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Antarctica/Macquarie,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Australia/Currie,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Australia/ACT,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Australia/Hobart,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Australia/Canberra,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Australia/Melbourne,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Australia/Currie,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Australia/NSW,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Australia/Hobart,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Australia/Sydney,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Australia/Melbourne,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Australia/Tasmania,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Australia/NSW,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Australia/Victoria,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10
Australia/Sydney,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Australia/LHI,2025-10-04T15:30:00Z,2025-10-05T02:30:00+11:00,+1030 10.5
Australia/Tasmania,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Australia/Lord_Howe,2025-10-04T15:30:00Z,2025-10-05T02:30:00+11:00,+1030 10.5
Australia/Victoria,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11,,,,,,Pacific/Norfolk,2025-10-04T15:00:00Z,2025-10-05T03:00:00+12:00,+11 11
Australia/Adelaide,2025-04-05T16:30:00Z,2025-04-06T02:00:00+09:30,ACDT 10.5,,,,,,Antarctica/McMurdo,2025-09-27T14:00:00Z,2025-09-28T03:00:00+13:00,NZST 12
Australia/Broken_Hill,2025-04-05T16:30:00Z,2025-04-06T02:00:00+09:30,ACDT 10.5,,,,,,Antarctica/South_Pole,2025-09-27T14:00:00Z,2025-09-28T03:00:00+13:00,NZST 12
Australia/South,2025-04-05T16:30:00Z,2025-04-06T02:00:00+09:30,ACDT 10.5,,,,,,NZ,2025-09-27T14:00:00Z,2025-09-28T03:00:00+13:00,NZST 12
Australia/Yancowinna,2025-04-05T16:30:00Z,2025-04-06T02:00:00+09:30,ACDT 10.5,,,,,,NZ-CHAT,2025-09-27T14:00:00Z,2025-09-28T03:45:00+13:45,+1245 12.75
Africa/Casablanca,2025-04-06T02:00:00Z,2025-04-06T03:00:00+01:00,+00 0,,,,,,Pacific/Auckland,2025-09-27T14:00:00Z,2025-09-28T03:00:00+13:00,NZST 12
Africa/El_Aaiun,2025-04-06T02:00:00Z,2025-04-06T03:00:00+01:00,+00 0,,,,,,Pacific/Chatham,2025-09-27T14:00:00Z,2025-09-28T03:45:00+13:45,+1245 12.75
America/Santiago,2025-04-06T03:00:00Z,2025-04-05T23:00:00-04:00,-03 -3,,,,,,America/Santiago,2025-09-07T04:00:00Z,2025-09-07T01:00:00-03:00,-04 -4
Chile/Continental,2025-04-06T03:00:00Z,2025-04-05T23:00:00-04:00,-03 -3,,,,,,Chile/Continental,2025-09-07T04:00:00Z,2025-09-07T01:00:00-03:00,-04 -4
Chile/EasterIsland,2025-04-06T03:00:00Z,2025-04-05T21:00:00-06:00,-05 -5,,,,,,Chile/EasterIsland,2025-09-07T04:00:00Z,2025-09-06T23:00:00-05:00,-06 -6
Pacific/Easter,2025-04-06T03:00:00Z,2025-04-05T21:00:00-06:00,-05 -5,,,,,,Pacific/Easter,2025-09-07T04:00:00Z,2025-09-06T23:00:00-05:00,-06 -6
Asia/Gaza,2025-04-12T00:00:00Z,2025-04-12T03:00:00+03:00,EET 2,,,,,,Africa/Cairo,2025-04-24T22:00:00Z,2025-04-25T01:00:00+03:00,EET 2
Asia/Hebron,2025-04-12T00:00:00Z,2025-04-12T03:00:00+03:00,EET 2,,,,,,Egypt,2025-04-24T22:00:00Z,2025-04-25T01:00:00+03:00,EET 2
Africa/Cairo,2025-04-24T22:00:00Z,2025-04-25T01:00:00+03:00,EET 2,,,,,,Asia/Gaza,2025-04-12T00:00:00Z,2025-04-12T03:00:00+03:00,EET 2
Egypt,2025-04-24T22:00:00Z,2025-04-25T01:00:00+03:00,EET 2,,,,,,Asia/Hebron,2025-04-12T00:00:00Z,2025-04-12T03:00:00+03:00,EET 2
America/Santiago,2025-09-07T04:00:00Z,2025-09-07T01:00:00-03:00,-04 -4,,,,,,America/Santiago,2025-04-06T03:00:00Z,2025-04-05T23:00:00-04:00,-03 -3
Chile/Continental,2025-09-07T04:00:00Z,2025-09-07T01:00:00-03:00,-04 -4,,,,,,Chile/Continental,2025-04-06T03:00:00Z,2025-04-05T23:00:00-04:00,-03 -3
Chile/EasterIsland,2025-09-07T04:00:00Z,2025-09-06T23:00:00-05:00,-06 -6,,,,,,Chile/EasterIsland,2025-04-06T03:00:00Z,2025-04-05T21:00:00-06:00,-05 -5
Pacific/Easter,2025-09-07T04:00:00Z,2025-09-06T23:00:00-05:00,-06 -6,,,,,,Pacific/Easter,2025-04-06T03:00:00Z,2025-04-05T21:00:00-06:00,-05 -5
Antarctica/McMurdo,2025-09-27T14:00:00Z,2025-09-28T03:00:00+13:00,NZST 12,,,,,,Africa/Casablanca,2025-04-06T02:00:00Z,2025-04-06T03:00:00+01:00,+00 0
Antarctica/South_Pole,2025-09-27T14:00:00Z,2025-09-28T03:00:00+13:00,NZST 12,,,,,,Africa/El_Aaiun,2025-04-06T02:00:00Z,2025-04-06T03:00:00+01:00,+00 0
NZ,2025-09-27T14:00:00Z,2025-09-28T03:00:00+13:00,NZST 12,,,,,,Australia/Adelaide,2025-04-05T16:30:00Z,2025-04-06T02:00:00+09:30,ACDT 10.5
NZ-CHAT,2025-09-27T14:00:00Z,2025-09-28T03:45:00+13:45,+1245 12.75,,,,,,Australia/Broken_Hill,2025-04-05T16:30:00Z,2025-04-06T02:00:00+09:30,ACDT 10.5
Pacific/Auckland,2025-09-27T14:00:00Z,2025-09-28T03:00:00+13:00,NZST 12,,,,,,Australia/South,2025-04-05T16:30:00Z,2025-04-06T02:00:00+09:30,ACDT 10.5
Pacific/Chatham,2025-09-27T14:00:00Z,2025-09-28T03:45:00+13:45,+1245 12.75,,,,,,Australia/Yancowinna,2025-04-05T16:30:00Z,2025-04-06T02:00:00+09:30,ACDT 10.5
Pacific/Norfolk,2025-10-04T15:00:00Z,2025-10-05T03:00:00+12:00,+11 11,,,,,,Antarctica/Macquarie,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Australia/LHI,2025-10-04T15:30:00Z,2025-10-05T02:30:00+11:00,+1030 10.5,,,,,,Australia/ACT,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Australia/Lord_Howe,2025-10-04T15:30:00Z,2025-10-05T02:30:00+11:00,+1030 10.5,,,,,,Australia/Canberra,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Antarctica/Macquarie,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Australia/Currie,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Australia/ACT,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Australia/Hobart,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Australia/Canberra,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Australia/Melbourne,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Australia/Currie,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Australia/NSW,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Australia/Hobart,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Australia/Sydney,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Australia/Melbourne,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Australia/Tasmania,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Australia/NSW,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Australia/Victoria,2025-04-05T16:00:00Z,2025-04-06T02:00:00+10:00,AEDT 11
Australia/Sydney,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Australia/LHI,2025-04-05T15:00:00Z,2025-04-06T01:30:00+10:30,+11 11
Australia/Tasmania,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Australia/Lord_Howe,2025-04-05T15:00:00Z,2025-04-06T01:30:00+10:30,+11 11
Australia/Victoria,2025-10-04T16:00:00Z,2025-10-05T03:00:00+11:00,AEST 10,,,,,,Pacific/Norfolk,2025-04-05T15:00:00Z,2025-04-06T02:00:00+11:00,+12 12
Australia/Adelaide,2025-10-04T16:30:00Z,2025-10-05T03:00:00+10:30,ACST 9.5,,,,,,Antarctica/McMurdo,2025-04-05T14:00:00Z,2025-04-06T02:00:00+12:00,NZDT 13
Australia/Broken_Hill,2025-10-04T16:30:00Z,2025-10-05T03:00:00+10:30,ACST 9.5,,,,,,Antarctica/South_Pole,2025-04-05T14:00:00Z,2025-04-06T02:00:00+12:00,NZDT 13
Australia/South,2025-10-04T16:30:00Z,2025-10-05T03:00:00+10:30,ACST 9.5,,,,,,NZ,2025-04-05T14:00:00Z,2025-04-06T02:00:00+12:00,NZDT 13
Australia/Yancowinna,2025-10-04T16:30:00Z,2025-10-05T03:00:00+10:30,ACST 9.5,,,,,,NZ-CHAT,2025-04-05T14:00:00Z,2025-04-06T02:45:00+12:45,+1345 13.75
Asia/Gaza,2025-10-24T23:00:00Z,2025-10-25T01:00:00+02:00,EEST 3,,,,,,Pacific/Auckland,2025-04-05T14:00:00Z,2025-04-06T02:00:00+12:00,NZDT 13
Asia/Hebron,2025-10-24T23:00:00Z,2025-10-25T01:00:00+02:00,EEST 3,,,,,,Pacific/Chatham,2025-04-05T14:00:00Z,2025-04-06T02:45:00+12:45,+1345 13.75
Asia/Beirut,2025-10-25T21:00:00Z,2025-10-25T23:00:00+02:00,EEST 3,,,,,,Africa/Ceuta,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Asia/Jerusalem,2025-10-25T23:00:00Z,2025-10-26T01:00:00+02:00,IDT 3,,,,,,America/Godthab,2025-03-30T01:00:00Z,2025-03-30T00:00:00-01:00,-02 -2
Asia/Tel_Aviv,2025-10-25T23:00:00Z,2025-10-26T01:00:00+02:00,IDT 3,,,,,,America/Nuuk,2025-03-30T01:00:00Z,2025-03-30T00:00:00-01:00,-02 -2
Israel,2025-10-25T23:00:00Z,2025-10-26T01:00:00+02:00,IDT 3,,,,,,America/Scoresbysund,2025-03-30T01:00:00Z,2025-03-30T00:00:00-01:00,-02 -2
Europe/Chisinau,2025-10-26T00:00:00Z,2025-10-26T02:00:00+02:00,EEST 3,,,,,,Antarctica/Troll,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,+00 0
Europe/Tiraspol,2025-10-26T00:00:00Z,2025-10-26T02:00:00+02:00,EEST 3,,,,,,Arctic/Longyearbyen,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Africa/Ceuta,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Asia/Famagusta,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
America/Godthab,2025-10-26T01:00:00Z,2025-10-25T23:00:00-02:00,-01 -1,,,,,,Asia/Nicosia,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
America/Nuuk,2025-10-26T01:00:00Z,2025-10-25T23:00:00-02:00,-01 -1,,,,,,Atlantic/Azores,2025-03-30T01:00:00Z,2025-03-30T01:00:00Z,-01 -1
America/Scoresbysund,2025-10-26T01:00:00Z,2025-10-25T23:00:00-02:00,-01 -1,,,,,,Atlantic/Canary,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0
Antarctica/Troll,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,+02 2,,,,,,Atlantic/Faeroe,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0
Arctic/Longyearbyen,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Atlantic/Faroe,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0
Asia/Famagusta,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Atlantic/Jan_Mayen,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Asia/Nicosia,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Atlantic/Madeira,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0
Atlantic/Azores,2025-10-26T01:00:00Z,2025-10-26T00:00:00-01:00,+00 0,,,,,,CET,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Atlantic/Canary,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1,,,,,,EET,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Atlantic/Faeroe,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1,,,,,,Eire,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0
Atlantic/Faroe,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1,,,,,,Europe/Amsterdam,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Atlantic/Jan_Mayen,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Andorra,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Atlantic/Madeira,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1,,,,,,Europe/Athens,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
CET,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Belfast,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0
EET,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Belgrade,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Eire,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,IST 1,,,,,,Europe/Berlin,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Amsterdam,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Bratislava,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Andorra,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Brussels,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Athens,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Bucharest,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Belfast,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1,,,,,,Europe/Budapest,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Belgrade,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Busingen,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Berlin,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Copenhagen,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Bratislava,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Dublin,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0
Europe/Brussels,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Gibraltar,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Bucharest,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Guernsey,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0
Europe/Budapest,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Helsinki,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Busingen,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Isle_of_Man,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0
Europe/Copenhagen,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Jersey,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0
Europe/Dublin,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,IST 1,,,,,,Europe/Kiev,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Gibraltar,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Kyiv,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Guernsey,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1,,,,,,Europe/Lisbon,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0
Europe/Helsinki,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Ljubljana,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Isle_of_Man,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1,,,,,,Europe/London,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0
Europe/Jersey,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1,,,,,,Europe/Luxembourg,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Kiev,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Madrid,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Kyiv,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Malta,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Lisbon,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1,,,,,,Europe/Mariehamn,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Ljubljana,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Monaco,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/London,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1,,,,,,Europe/Nicosia,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Luxembourg,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Oslo,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Madrid,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Paris,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Malta,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Podgorica,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Mariehamn,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Prague,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
